title,text,subject,date,label
India Launches New Satellite,India successfully launched a communication satellite into orbit.,real,01-02-2026,1
Scientists Discover New Species,Marine scientists discovered a new species in the Pacific Ocean.,real,02-02-2026,1
Government Announces Education Policy,The government introduced a revised national education policy.,real,03-02-2026,1
Tech Company Releases AI Tool,A technology company released a new AI productivity tool.,real,04-02-2026,1
Researchers Develop New Vaccine,Researchers developed a vaccine after successful clinical trials.,real,05-02-2026,1
Farmers Receive Government Support #1,The government announced subsidies and financial support for farmers.,real,01-03-2026,1
Farmers Receive Government Support #2,The government announced subsidies and financial support for farmers.,real,02-03-2026,1
Farmers Receive Government Support #3,The government announced subsidies and financial support for farmers.,real,03-03-2026,1
Scientists Study Ocean Life #4,Marine researchers published new findings about underwater ecosystems.,real,04-03-2026,1
Healthcare Reform Introduced #5,The ministry announced new healthcare reforms to improve rural medical services.,real,05-03-2026,1
Cybersecurity Measures Improved #6,Experts introduced updated cybersecurity measures for online protection.,real,06-03-2026,1
New Smartphone Announced #7,A mobile company introduced a smartphone with improved camera features.,real,07-03-2026,1
Farmers Receive Government Support #8,The government announced subsidies and financial support for farmers.,real,08-03-2026,1
Climate Change Summit Held #9,World leaders discussed environmental protection and renewable energy plans.,real,09-03-2026,1
New Smartphone Announced #10,A mobile company introduced a smartphone with improved camera features.,real,10-03-2026,1
Sports Team Wins Championship #11,The national team secured victory after a close final match.,real,11-03-2026,1
Climate Change Summit Held #12,World leaders discussed environmental protection and renewable energy plans.,real,12-03-2026,1
New Electric Vehicle Released #13,An automobile company launched an affordable electric vehicle with advanced battery life.,real,13-03-2026,1
Healthcare Reform Introduced #14,The ministry announced new healthcare reforms to improve rural medical services.,real,14-03-2026,1
Space Mission Successful #15,Scientists confirmed the successful completion of a deep space mission.,real,15-03-2026,1
Climate Change Summit Held #16,World leaders discussed environmental protection and renewable energy plans.,real,16-03-2026,1
New Smartphone Announced #17,A mobile company introduced a smartphone with improved camera features.,real,17-03-2026,1
New Electric Vehicle Released #18,An automobile company launched an affordable electric vehicle with advanced battery life.,real,18-03-2026,1
Climate Change Summit Held #19,World leaders discussed environmental protection and renewable energy plans.,real,19-03-2026,1
Scientists Study Ocean Life #20,Marine researchers published new findings about underwater ecosystems.,real,20-03-2026,1
New Smartphone Announced #21,A mobile company introduced a smartphone with improved camera features.,real,21-03-2026,1
Farmers Receive Government Support #22,The government announced subsidies and financial support for farmers.,real,22-03-2026,1
Healthcare Reform Introduced #23,The ministry announced new healthcare reforms to improve rural medical services.,real,23-03-2026,1
Farmers Receive Government Support #24,The government announced subsidies and financial support for farmers.,real,24-03-2026,1
Space Mission Successful #25,Scientists confirmed the successful completion of a deep space mission.,real,25-03-2026,1
University Opens Research Center #26,A university inaugurated a new artificial intelligence research center.,real,26-03-2026,1
