title,text,subject,date,label
Aliens Landed in New York,A viral report claims aliens landed in New York yesterday.,fake,01-01-2026,0
Miracle Cure for All Diseases Found,An unknown herb reportedly cures every disease instantly.,fake,02-01-2026,0
Government Hides Secret Time Machine,Conspiracy theorists claim the government owns a time machine.,fake,03-01-2026,0
Celebrity Adopts 1000 Tigers,A famous celebrity allegedly adopted 1000 tigers in one day.,fake,04-01-2026,0
Moon Made of Cheese Scientists Claim,Fake reports spread online saying the moon is made of cheese.,fake,05-01-2026,0
Online article spreads false election information,Several social media users shared unverified reports without checking trusted sources.,fake,01-01-2026,58
Sports event generates fake ticket scam alerts,Several social media users shared unverified reports without checking trusted sources.,fake,05-01-2026,68
Online article spreads false election information,Experts highlighted the importance of fact checking before sharing online content.,fake,05-01-2026,54
Experts warn about social media misinformation,The article discussed how machine learning can help detect fake news content.,fake,02-01-2026,6
Government announces new education policy,Researchers explained that the new findings were based on verified scientific evidence.,fake,01-01-2026,57
Online article spreads false election information,Public awareness campaigns are being conducted to reduce misinformation online.,fake,01-01-2026,22
Scientists discover new renewable energy method,Authorities requested citizens not to believe rumors spreading through messaging platforms.,fake,03-01-2026,34
Experts warn about social media misinformation,Researchers explained that the new findings were based on verified scientific evidence.,fake,04-01-2026,31
Medical researchers publish new study,Journalists investigated the claims and found multiple inconsistencies in the reports.,fake,03-01-2026,19
Technology company launches AI innovation,Public awareness campaigns are being conducted to reduce misinformation online.,fake,03-01-2026,86
Technology company launches AI innovation,Experts highlighted the importance of fact checking before sharing online content.,fake,02-01-2026,45
Sports event generates fake ticket scam alerts,Public awareness campaigns are being conducted to reduce misinformation online.,fake,04-01-2026,54
Experts warn about social media misinformation,Journalists investigated the claims and found multiple inconsistencies in the reports.,fake,04-01-2026,74
Government announces new education policy,Researchers explained that the new findings were based on verified scientific evidence.,fake,05-01-2026,30
Celebrity shares misleading health advice online,Officials confirmed that the information circulating online was inaccurate and misleading.,fake,05-01-2026,74
Experts warn about social media misinformation,Experts highlighted the importance of fact checking before sharing online content.,fake,05-01-2026,70
Government announces new education policy,Several social media users shared unverified reports without checking trusted sources.,fake,04-01-2026,1
Medical researchers publish new study,Journalists investigated the claims and found multiple inconsistencies in the reports.,fake,01-01-2026,14
Medical researchers publish new study,Experts highlighted the importance of fact checking before sharing online content.,fake,05-01-2026,78
Celebrity shares misleading health advice online,The report included both verified details and public reactions from different regions.,fake,04-01-2026,23
Experts warn about social media misinformation,Researchers explained that the new findings were based on verified scientific evidence.,fake,03-01-2026,47
Medical researchers publish new study,The article discussed how machine learning can help detect fake news content.,fake,02-01-2026,18
Celebrity shares misleading health advice online,Journalists investigated the claims and found multiple inconsistencies in the reports.,fake,03-01-2026,83
Celebrity shares misleading health advice online,Public awareness campaigns are being conducted to reduce misinformation online.,fake,02-01-2026,28
Viral post falsely claims internet blackout,Public awareness campaigns are being conducted to reduce misinformation online.,fake,01-01-2026,71
Celebrity shares misleading health advice online,Analysts stated that fake information can spread rapidly through social networks.,fake,01-01-2026,48
Celebrity shares misleading health advice online,The article discussed how machine learning can help detect fake news content.,fake,04-01-2026,37
Medical researchers publish new study,Public awareness campaigns are being conducted to reduce misinformation online.,fake,05-01-2026,2
Online article spreads false election information,Officials confirmed that the information circulating online was inaccurate and misleading.,fake,04-01-2026,90
Experts warn about social media misinformation,Authorities requested citizens not to believe rumors spreading through messaging platforms.,fake,03-01-2026,2
Government announces new education policy,Authorities requested citizens not to believe rumors spreading through messaging platforms.,fake,05-01-2026,64
Scientists discover new renewable energy method,Journalists investigated the claims and found multiple inconsistencies in the reports.,fake,02-01-2026,9
Experts warn about social media misinformation,Analysts stated that fake information can spread rapidly through social networks.,fake,04-01-2026,19
Technology company launches AI innovation,Public awareness campaigns are being conducted to reduce misinformation online.,fake,02-01-2026,7
Sports event generates fake ticket scam alerts,Authorities requested citizens not to believe rumors spreading through messaging platforms.,fake,02-01-2026,18
Experts warn about social media misinformation,Analysts stated that fake information can spread rapidly through social networks.,fake,05-01-2026,51
Viral post falsely claims internet blackout,Public awareness campaigns are being conducted to reduce misinformation online.,fake,03-01-2026,15
Government announces new education policy,Public awareness campaigns are being conducted to reduce misinformation online.,fake,01-01-2026,86
Medical researchers publish new study,The article discussed how machine learning can help detect fake news content.,fake,03-01-2026,77
Fake rumor spreads about bank shutdown,Researchers explained that the new findings were based on verified scientific evidence.,fake,04-01-2026,44
Experts warn about social media misinformation,Officials confirmed that the information circulating online was inaccurate and misleading.,fake,04-01-2026,92
Medical researchers publish new study,Authorities requested citizens not to believe rumors spreading through messaging platforms.,fake,03-01-2026,29
Scientists discover new renewable energy method,Public awareness campaigns are being conducted to reduce misinformation online.,fake,05-01-2026,49
Online article spreads false election information,Several social media users shared unverified reports without checking trusted sources.,fake,01-01-2026,50
Experts warn about social media misinformation,Experts highlighted the importance of fact checking before sharing online content.,fake,02-01-2026,37
Sports event generates fake ticket scam alerts,Officials confirmed that the information circulating online was inaccurate and misleading.,fake,05-01-2026,95
Technology company launches AI innovation,Authorities requested citizens not to believe rumors spreading through messaging platforms.,fake,02-01-2026,28
Sports event generates fake ticket scam alerts,The report included both verified details and public reactions from different regions.,fake,04-01-2026,80
Experts warn about social media misinformation,Several social media users shared unverified reports without checking trusted sources.,fake,02-01-2026,74
Experts warn about social media misinformation,Experts highlighted the importance of fact checking before sharing online content.,fake,02-01-2026,48
Scientists discover new renewable energy method,Journalists investigated the claims and found multiple inconsistencies in the reports.,fake,02-01-2026,73
Scientists discover new renewable energy method,Several social media users shared unverified reports without checking trusted sources.,fake,05-01-2026,20
Celebrity shares misleading health advice online,The article discussed how machine learning can help detect fake news content.,fake,02-01-2026,67
Medical researchers publish new study,Researchers explained that the new findings were based on verified scientific evidence.,fake,04-01-2026,21
Medical researchers publish new study,Experts highlighted the importance of fact checking before sharing online content.,fake,04-01-2026,42
Medical researchers publish new study,The article discussed how machine learning can help detect fake news content.,fake,03-01-2026,57
Celebrity shares misleading health advice online,Researchers explained that the new findings were based on verified scientific evidence.,fake,05-01-2026,84
Technology company launches AI innovation,The report included both verified details and public reactions from different regions.,fake,02-01-2026,14
Online article spreads false election information,Officials confirmed that the information circulating online was inaccurate and misleading.,fake,04-01-2026,26
Scientists discover new renewable energy method,Officials confirmed that the information circulating online was inaccurate and misleading.,fake,05-01-2026,47
Scientists discover new renewable energy method,Analysts stated that fake information can spread rapidly through social networks.,fake,04-01-2026,75
Fake rumor spreads about bank shutdown,Public awareness campaigns are being conducted to reduce misinformation online.,fake,03-01-2026,60
Viral post falsely claims internet blackout,The article discussed how machine learning can help detect fake news content.,fake,02-01-2026,73
Medical researchers publish new study,The article discussed how machine learning can help detect fake news content.,fake,04-01-2026,52
Medical researchers publish new study,Officials confirmed that the information circulating online was inaccurate and misleading.,fake,03-01-2026,46
Experts warn about social media misinformation,Authorities requested citizens not to believe rumors spreading through messaging platforms.,fake,02-01-2026,99
Medical researchers publish new study,Public awareness campaigns are being conducted to reduce misinformation online.,fake,04-01-2026,80
Government announces new education policy,Authorities requested citizens not to believe rumors spreading through messaging platforms.,fake,04-01-2026,17
Medical researchers publish new study,Analysts stated that fake information can spread rapidly through social networks.,fake,03-01-2026,9
Celebrity shares misleading health advice online,Public awareness campaigns are being conducted to reduce misinformation online.,fake,01-01-2026,5
Celebrity shares misleading health advice online,Experts highlighted the importance of fact checking before sharing online content.,fake,03-01-2026,77
Scientists discover new renewable energy method,Several social media users shared unverified reports without checking trusted sources.,fake,04-01-2026,49
Fake rumor spreads about bank shutdown,Officials confirmed that the information circulating online was inaccurate and misleading.,fake,01-01-2026,86
Sports event generates fake ticket scam alerts,Researchers explained that the new findings were based on verified scientific evidence.,fake,01-01-2026,55
Viral post falsely claims internet blackout,Experts highlighted the importance of fact checking before sharing online content.,fake,05-01-2026,61
Celebrity shares misleading health advice online,The article discussed how machine learning can help detect fake news content.,fake,04-01-2026,78
Medical researchers publish new study,Several social media users shared unverified reports without checking trusted sources.,fake,05-01-2026,98
Sports event generates fake ticket scam alerts,The article discussed how machine learning can help detect fake news content.,fake,03-01-2026,6
Online article spreads false election information,Officials confirmed that the information circulating online was inaccurate and misleading.,fake,03-01-2026,42
Fake rumor spreads about bank shutdown,Researchers explained that the new findings were based on verified scientific evidence.,fake,04-01-2026,77
Fake rumor spreads about bank shutdown,Researchers explained that the new findings were based on verified scientific evidence.,fake,04-01-2026,19
Experts warn about social media misinformation,Officials confirmed that the information circulating online was inaccurate and misleading.,fake,04-01-2026,28
Fake rumor spreads about bank shutdown,Experts highlighted the importance of fact checking before sharing online content.,fake,03-01-2026,40
Technology company launches AI innovation,The report included both verified details and public reactions from different regions.,fake,04-01-2026,88
Online article spreads false election information,Public awareness campaigns are being conducted to reduce misinformation online.,fake,01-01-2026,98
Medical researchers publish new study,Authorities requested citizens not to believe rumors spreading through messaging platforms.,fake,03-01-2026,1
Online article spreads false election information,Experts highlighted the importance of fact checking before sharing online content.,fake,04-01-2026,2
Fake rumor spreads about bank shutdown,Officials confirmed that the information circulating online was inaccurate and misleading.,fake,02-01-2026,2
Experts warn about social media misinformation,Officials confirmed that the information circulating online was inaccurate and misleading.,fake,05-01-2026,36
Medical researchers publish new study,Experts highlighted the importance of fact checking before sharing online content.,fake,03-01-2026,20
Experts warn about social media misinformation,Officials confirmed that the information circulating online was inaccurate and misleading.,fake,05-01-2026,58
Fake rumor spreads about bank shutdown,Authorities requested citizens not to believe rumors spreading through messaging platforms.,fake,03-01-2026,93
Viral post falsely claims internet blackout,Journalists investigated the claims and found multiple inconsistencies in the reports.,fake,02-01-2026,32
